ds,yhat,yhat_lower,yhat_upper
2020-07-02,65.0301517262518,-17.531121126854895,162.1430299565704
2020-07-03,64.43480502515166,-30.540102938876505,146.799031001566
2020-07-04,56.70374585866237,-36.10222479918724,143.43066448692983
2020-07-05,49.322700841263355,-38.62664923155125,140.1660742482273
2020-07-06,44.16188142683524,-38.05940775785819,132.0335629350238
2020-07-07,44.82737728424597,-40.00203904495204,133.8959471297279
2020-07-08,47.46751423894766,-41.258247975054054,137.19868599196676
2020-07-09,48.89992488797819,-43.242254229730015,134.24223440726755
2020-07-10,49.77497570131892,-37.95446348841989,142.91589387117122
2020-07-11,43.484322095199715,-49.89835542179909,134.73605645600438
2020-07-12,37.488619214834216,-47.9642506370097,122.26538924554521
2020-07-13,33.634828372716015,-55.44743252167296,125.38271368794544
2020-07-14,35.50818005557025,-47.39124784728922,120.63439329886279
2020-07-15,39.23903850313475,-47.16622491303057,118.85758690977194
2020-07-16,41.630403057396165,-43.56640307675603,139.7264505240389
2020-07-17,43.321679189531764,-39.035225149394954,134.47209194275345
2020-07-18,37.697482063322695,-45.45017665362416,125.68163642567806
2020-07-19,32.215494239829525,-54.23790382416319,119.42673919677749
2020-07-20,28.723813980016644,-58.34085630184407,117.99191324473814
2020-07-21,30.812854291172783,-55.57577380012854,111.5548720066776
2020-07-22,34.6220396851954,-53.58468007400148,128.54472597034186
2020-07-23,36.967040479736085,-49.566798557735765,126.01883783589753
2020-07-24,38.503184718708496,-52.57096433376964,127.79316374526147
2020-07-25,32.63382008114985,-61.678629159992944,120.59511094362524
2020-07-26,26.837658975617842,-63.801264570977565,114.09466752899291
2020-07-27,22.98555664559322,-65.21756841883077,109.9076163498678
2020-07-28,24.691797221797145,-68.37761899508878,110.95498454050168
2020-07-29,28.12015051502155,-63.5623587855236,120.16521092192178
2020-07-30,30.1104558282274,-56.02505814274619,125.34979524924448
2020-07-31,31.341389512201516,-56.656490585795744,117.06172143904915
2020-08-01,25.238205050947613,-61.72197365573579,120.67898749291062
2020-08-02,19.299494645805197,-64.6170049796917,107.25279185503086
2020-08-03,15.413436849714884,-73.9530153405108,106.29278236567009
2020-08-04,17.20861850013017,-66.71654190417654,110.63013986715292
2020-08-05,20.85970531308331,-65.86581433697474,104.63492595755108
2020-08-06,23.213726962268993,-59.711519414639746,112.88952838531755
2020-08-07,24.952640658728626,-64.65360329946567,118.74882326021391
2020-08-08,19.50096688854012,-64.91704792331484,110.26076413541013
2020-08-09,14.352548623004225,-68.68629929389867,103.42914240826846
2020-08-10,11.38689833307518,-71.5337549348315,97.45036300515216
2020-08-11,14.220218298916478,-76.0993017966118,103.88474932693323
2020-08-12,19.011363371127487,-73.78008979744781,109.615248224494
2020-08-13,22.588504506276422,-70.16407741135379,106.372176077192
2020-08-14,25.612147503856164,-62.91465870443573,112.43317099253015
2020-08-15,21.483289185840846,-65.43861776881039,108.51658696330743
2020-08-16,17.670749392629205,-64.68607173543946,104.77541422822387
2020-08-17,16.028128998287457,-79.0761027415729,101.27946574677391
2020-08-18,20.145464484098994,-71.17206137494975,110.63603436608652
2020-08-19,26.155832830647455,-60.590062396323425,115.89215620058486
2020-08-20,30.862649596343473,-58.02514844327229,120.37190430803643
2020-08-21,34.90329947962087,-50.698220633107866,119.71105449019925
2020-08-22,31.65786716757046,-58.25003476335323,119.2685336312712
2020-08-23,28.57699344576008,-61.04634087337012,115.21816848342742
2020-08-24,27.499294725462192,-65.02689693485532,114.02886512845382
2020-08-25,32.00340610955534,-48.37562980267845,126.60055902725985
2020-08-26,38.21489319840336,-45.91533667682799,125.62799601265608
2020-08-27,42.933768984039304,-44.56876817716934,132.59844822759467
2020-08-28,46.798250774886085,-43.637356556317236,132.57474888756474
2020-08-29,43.19352283361431,-42.44694568897469,132.27017779373443
2020-08-30,39.579529829017034,-49.98394800955857,126.13288922762554
2020-08-31,37.80824158836457,-43.2216001502313,122.52380155912708
2020-09-01,41.47545370472926,-39.49735151895168,133.98351002751807
2020-09-02,46.727375592622124,-41.62686917028208,132.0266986766639
2020-09-03,50.387750492683466,-40.283764889704344,128.5221128851145
2020-09-04,53.12115205012557,-34.58413612894136,138.8119579131193
2020-09-05,48.34123409337663,-32.0514794709392,137.3976389219254
2020-09-06,43.537970628839986,-37.80545807009952,135.44299464851153
2020-09-07,40.5943391146012,-46.57669952504642,125.75492114151805
2020-09-08,43.13752448907755,-45.66290642756324,129.62144017879126
2020-09-09,47.34490849579562,-38.86388370609084,129.66646827544793
2020-09-10,50.07060147065866,-38.49775229237383,141.80983815133123
2020-09-11,52.00817330423119,-37.7473307987958,137.32471453804615
2020-09-12,46.5983714468763,-42.705578660463914,137.77213825126952
2020-09-13,41.35587312336389,-52.63962894747618,127.06142651716752
2020-09-14,38.18553367469093,-50.02453118444787,125.42298531640789
2020-09-15,40.73321589429037,-46.161958789368846,128.42736631891555
2020-09-16,45.191470701718785,-36.92302176090264,137.1029370093809
2020-09-17,48.42583045264293,-34.80923648396433,131.84321258085518
2020-09-18,51.137374024782275,-34.677609722916344,136.5935041746454
2020-09-19,46.770352279177146,-35.9518607862333,135.57706304026718
2020-09-20,42.83892015097666,-51.10374269896477,128.41232965241366
2020-09-21,41.24343482398099,-47.5446156648872,134.70663738818487
2020-09-22,45.6214009706039,-43.1533056146594,128.2527774917559
2020-09-23,52.153328251610816,-41.47846121389167,138.09536114224312
2020-09-24,57.68925615164224,-30.36937374877199,143.7017018833142
2020-09-25,62.91159819776142,-24.895334987641128,149.9000383043355
2020-09-26,61.24308641961632,-22.86093133326471,150.73317340946312
2020-09-27,60.17385414488545,-26.496252629381292,153.72089881070937
2020-09-28,61.57810823045327,-34.17680795903128,152.25077919858234
2020-09-29,69.06546338850399,-21.425696426387,157.44590292516438
2020-09-30,78.78719572010584,-9.719557982488308,164.0112687967531
2020-10-01,87.56316288567974,-2.901070922517382,168.6203190536893
2020-10-02,96.04503591902784,13.298369892643427,176.91138729833708
2020-10-03,97.62461725533372,10.420119286071355,189.79876179275902
2020-10-04,99.76127764637107,6.958726766776732,182.54056514536614
2020-10-05,104.2989585962544,20.702762844386392,192.14125866898925
2020-10-06,114.81780951445421,33.06172744553359,207.7816876098516
2020-10-07,127.44071426185428,47.68339852435159,212.46791987320282
2020-10-08,138.96045309283542,50.32181576320948,231.82584431063395
2020-10-09,150.00314454433502,62.986570334438575,243.24659694000408
2020-10-10,153.9367422830734,66.64264910314884,243.6100158371216
2020-10-11,158.19862082857514,69.75645481733387,245.15949509973683
2020-10-12,164.6126987161648,78.7321811418188,249.33420017762896
2020-10-13,176.74117078257308,86.68652341440232,265.02097973141514
